Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2002,724,1,0,"H2","080711",8,11651356,11651356,6853324,0
2002,724,2,0,"H2","080711",8,308473693,308473693,108493310,0
2002,724,2,20,"H2","080711",8,129182,129182,55128,0
2002,724,1,40,"H2","080711",8,43061,43061,12229,0
2002,724,2,40,"H2","080711",8,8962495,8962495,3955087,0
2002,724,2,56,"H2","080711",8,4973568,4973568,2105721,0
2002,724,2,70,"H2","080711",8,17726,17726,5334,0
2002,724,1,76,"H2","080711",8,879639,879639,464624,0
2002,724,2,132,"H2","080711",8,850,850,1131,0
2002,724,1,152,"H2","080711",8,211,211,575,0
2002,724,1,188,"H2","080711",8,1500703,1500703,915732,0
2002,724,2,191,"H2","080711",8,50493,50493,20364,0
2002,724,2,203,"H2","080711",8,6010666,6010666,2403380,0
2002,724,2,208,"H2","080711",8,7667908,7667908,3170301,0
2002,724,1,218,"H2","080711",8,733656,733656,435172,0
2002,724,2,233,"H2","080711",8,121914,121914,37840,0
2002,724,2,246,"H2","080711",8,6620997,6620997,2323437,0
2002,724,1,251,"H2","080711",8,782016,782016,211230,0
2002,724,2,251,"H2","080711",8,63276657,63276657,21552769,0
2002,724,1,276,"H2","080711",8,606380,606380,172965,0
2002,724,2,276,"H2","080711",8,122945054,122945054,41106318,0
2002,724,2,292,"H2","080711",8,92871,92871,35405,0
2002,724,1,340,"H2","080711",8,9579,9579,5422,0
2002,724,2,348,"H2","080711",8,847427,847427,459379,0
2002,724,2,372,"H2","080711",8,117016,117016,39175,0
2002,724,1,381,"H2","080711",8,3578,3578,1016,0
2002,724,2,381,"H2","080711",8,5276802,5276802,2309177,0
2002,724,2,428,"H2","080711",8,62802,62802,27458,0
2002,724,2,440,"H2","080711",8,28029,28029,7921,0
2002,724,2,442,"H2","080711",8,43914,43914,25951,0
2002,724,1,504,"H2","080711",8,943583,943583,595553,0
2002,724,2,504,"H2","080711",8,25411,25411,14035,0
2002,724,1,528,"H2","080711",8,1635962,1635962,958547,0
2002,724,2,528,"H2","080711",8,23502120,23502120,8237826,0
2002,724,2,579,"H2","080711",8,6308459,6308459,2579954,0
2002,724,1,591,"H2","080711",8,4045832,4045832,2939931,0
2002,724,2,616,"H2","080711",8,9842147,9842147,3729109,0
2002,724,1,620,"H2","080711",8,291390,291390,88486,0
2002,724,2,620,"H2","080711",8,8509866,8509866,2081354,0
2002,724,2,643,"H2","080711",8,27448,27448,10263,0
2002,724,2,694,"H2","080711",8,2454,2454,1531,0
2002,724,2,703,"H2","080711",8,736937,736937,239663,0
2002,724,2,705,"H2","080711",8,207416,207416,116143,0
2002,724,1,710,"H2","080711",8,16121,16121,631,0
2002,724,2,710,"H2","080711",8,60,60,57,0
2002,724,2,752,"H2","080711",8,13433366,13433366,4960540,0
2002,724,2,757,"H2","080711",8,717077,717077,297956,0
2002,724,1,818,"H2","080711",8,20700,20700,8855,0
2002,724,1,826,"H2","080711",8,92205,92205,26186,0
2002,724,2,826,"H2","080711",8,17913494,17913494,6583412,0
2002,724,1,858,"H2","080711",8,46740,46740,16167,0
2002,724,2,891,"H2","080711",8,1067,1067,189,0
2003,724,1,0,"H2","080711",8,10015493,10015493,6162366,0
2003,724,2,0,"H2","080711",8,326133836,326133836,170826813,0
2003,724,2,20,"H2","080711",8,137001,137001,90172,0
2003,724,1,32,"H2","080711",8,23400,23400,6692,0
2003,724,2,40,"H2","080711",8,7465892,7465892,4582083,0
2003,724,2,56,"H2","080711",8,5985714,5985714,3828538,0
2003,724,2,70,"H2","080711",8,39243,39243,14755,0
2003,724,1,76,"H2","080711",8,1009151,1009151,440596,0
2003,724,1,100,"H2","080711",8,19896,19896,5380,0
2003,724,2,112,"H2","080711",8,400,400,91,0
2003,724,1,188,"H2","080711",8,1172363,1172363,564650,0
2003,724,2,191,"H2","080711",8,66202,66202,37523,0
2003,724,2,203,"H2","080711",8,5221653,5221653,2670732,0
2003,724,2,208,"H2","080711",8,5666051,5666051,2660186,0
2003,724,1,218,"H2","080711",8,121647,121647,65685,0
2003,724,2,233,"H2","080711",8,19696,19696,16640,0
2003,724,2,246,"H2","080711",8,5592339,5592339,2833210,0
2003,724,1,251,"H2","080711",8,329933,329933,163623,0
2003,724,2,251,"H2","080711",8,76482157,76482157,40561733,0
2003,724,1,276,"H2","080711",8,199240,199240,65826,0
2003,724,2,276,"H2","080711",8,129666784,129666784,65393797,0
2003,724,2,292,"H2","080711",8,59910,59910,40667,0
2003,724,2,300,"H2","080711",8,191676,191676,131774,0
2003,724,1,340,"H2","080711",8,26126,26126,11873,0
2003,724,2,348,"H2","080711",8,1166022,1166022,810697,0
2003,724,2,352,"H2","080711",8,20719,20719,13246,0
2003,724,2,372,"H2","080711",8,114677,114677,71066,0
2003,724,1,381,"H2","080711",8,86526,86526,21594,0
2003,724,2,381,"H2","080711",8,7752932,7752932,5844709,0
2003,724,2,428,"H2","080711",8,17943,17943,14990,0
2003,724,2,440,"H2","080711",8,78024,78024,38133,0
2003,724,2,442,"H2","080711",8,24596,24596,12153,0
2003,724,2,478,"H2","080711",8,470,470,375,0
2003,724,1,504,"H2","080711",8,1144605,1144605,472757,0
2003,724,2,504,"H2","080711",8,15343,15343,14009,0
2003,724,1,528,"H2","080711",8,715811,715811,409913,0
2003,724,2,528,"H2","080711",8,25971259,25971259,13483697,0
2003,724,2,579,"H2","080711",8,6856116,6856116,3474132,0
2003,724,1,591,"H2","080711",8,4756832,4756832,3833749,0
2003,724,2,616,"H2","080711",8,7053629,7053629,3975567,0
2003,724,1,620,"H2","080711",8,409963,409963,100028,0
2003,724,2,620,"H2","080711",8,9043600,9043600,4047915,0
2003,724,2,643,"H2","080711",8,241374,241374,97776,0
2003,724,2,703,"H2","080711",8,486610,486610,236678,0
2003,724,2,705,"H2","080711",8,269245,269245,189217,0
2003,724,2,710,"H2","080711",8,26760,26760,18177,0
2003,724,2,752,"H2","080711",8,11078819,11078819,6059293,0
2003,724,2,757,"H2","080711",8,1329187,1329187,674249,0
2003,724,2,826,"H2","080711",8,17984745,17984745,8883537,0
2003,724,2,891,"H2","080711",8,7048,7048,5298,0
1996,724,1,0,"H1","080711",8,717367,717367,419387,0
1996,724,2,0,"H1","080711",8,269203840,269203840,117585768,0
1996,724,2,20,"H1","080711",8,17382,17382,3698,0
1996,724,2,40,"H1","080711",8,7336734,7336734,3427673,0
1996,724,2,58,"H1","080711",8,6737718,6737718,3282913,0
1996,724,2,70,"H1","080711",8,13125,13125,6318,0
1996,724,1,76,"H1","080711",8,14437,14437,10073,0
1996,724,1,152,"H1","080711",8,820,820,579,0
1996,724,1,188,"H1","080711",8,24406,24406,32645,0
1996,724,2,191,"H1","080711",8,118226,118226,53611,0
1996,724,2,203,"H1","080711",8,2946812,2946812,1059602,0
1996,724,2,208,"H1","080711",8,4329535,4329535,2008953,0
1996,724,1,222,"H1","080711",8,7000,7000,1760,0
1996,724,2,233,"H1","080711",8,1812,1812,1286,0
1996,724,2,234,"H1","080711",8,17855,17855,9859,0
1996,724,2,246,"H1","080711",8,4401843,4401843,2452570,0
1996,724,1,251,"H1","080711",8,49722,49722,61358,0
1996,724,2,251,"H1","080711",8,64348484,64348484,26253856,0
1996,724,2,276,"H1","080711",8,102950248,102950248,46061304,0
1996,724,2,292,"H1","080711",8,91363,91363,25090,0
1996,724,2,300,"H1","080711",8,336437,336437,208310,0
1996,724,1,320,"H1","080711",8,6812,6812,3588,0
1996,724,1,340,"H1","080711",8,55773,55773,32424,0
1996,724,2,348,"H1","080711",8,276187,276187,112022,0
1996,724,2,372,"H1","080711",8,57406,57406,25831,0
1996,724,1,376,"H1","080711",8,2437,2437,6135,0
1996,724,1,381,"H1","080711",8,4125,4125,1933,0
1996,724,2,381,"H1","080711",8,16484164,16484164,7922068,0
1996,724,2,440,"H1","080711",8,48070,48070,5843,0
1996,724,1,504,"H1","080711",8,80289,80289,12660,0
1996,724,1,528,"H1","080711",8,334750,334750,195498,0
1996,724,2,528,"H1","080711",8,21304480,21304480,10135354,0
1996,724,2,579,"H1","080711",8,3926250,3926250,1469433,0
1996,724,2,616,"H1","080711",8,3348625,3348625,1158816,0
1996,724,2,620,"H1","080711",8,8378003,8378003,3221072,0
1996,724,2,642,"H1","080711",8,8312,8312,3255,0
1996,724,2,643,"H1","080711",8,57125,57125,14856,0
1996,724,2,703,"H1","080711",8,513250,513250,195825,0
1996,724,2,705,"H1","080711",8,303187,303187,145424,0
1996,724,2,752,"H1","080711",8,6830039,6830039,3317431,0
1996,724,2,757,"H1","080711",8,1563062,1563062,494634,0
1996,724,1,826,"H1","080711",8,136796,136796,60734,0
1996,724,2,826,"H1","080711",8,12457101,12457101,4508543,0
1996,724,2,899,"H1","080711",8,1000,1000,319,0
1997,724,1,0,"H1","080711",8,1345962,1345962,705667,0
1997,724,2,0,"H1","080711",8,311364896,311364896,107762896,0
1997,724,2,20,"H1","080711",8,94921,94921,36576,0
1997,724,2,40,"H1","080711",8,4219585,4219585,1649788,0
1997,724,1,58,"H1","080711",8,2562,2562,1947,0
1997,724,2,58,"H1","080711",8,6392535,6392535,2765010,0
1997,724,2,70,"H1","080711",8,87597,87597,33270,0
1997,724,1,76,"H1","080711",8,31074,31074,21907,0
1997,724,1,188,"H1","080711",8,21613,21613,21338,0
1997,724,2,191,"H1","080711",8,285437,285437,73654,0
1997,724,2,203,"H1","080711",8,5201437,5201437,1317661,0
1997,724,2,208,"H1","080711",8,4613816,4613816,1754488,0
1997,724,1,222,"H1","080711",8,11125,11125,4557,0
1997,724,2,233,"H1","080711",8,75296,75296,15732,0
1997,724,2,246,"H1","080711",8,5358449,5358449,2409582,0
1997,724,1,251,"H1","080711",8,339562,339562,133525,0
1997,724,2,251,"H1","080711",8,69476000,69476000,22645940,0
1997,724,1,276,"H1","080711",8,23718,23718,7578,0
1997,724,2,276,"H1","080711",8,126739064,126739064,44287600,0
1997,724,2,292,"H1","080711",8,85871,85871,29704,0
1997,724,1,300,"H1","080711",8,87300,87300,22243,0
1997,724,2,300,"H1","080711",8,115898,115898,54772,0
1997,724,1,320,"H1","080711",8,26238,26238,11166,0
1997,724,1,340,"H1","080711",8,212550,212550,137404,0
1997,724,2,348,"H1","080711",8,1427250,1427250,318904,0
1997,724,1,372,"H1","080711",8,52710,52710,36600,0
1997,724,2,372,"H1","080711",8,112039,112039,44971,0
1997,724,1,381,"H1","080711",8,127109,127109,43666,0
1997,724,2,381,"H1","080711",8,17346784,17346784,6141783,0
1997,724,2,428,"H1","080711",8,62472,62472,18475,0
1997,724,2,440,"H1","080711",8,409437,409437,107248,0
1997,724,1,504,"H1","080711",8,95730,95730,13884,0
1997,724,1,528,"H1","080711",8,285000,285000,227062,0
1997,724,2,528,"H1","080711",8,24927628,24927628,9363878,0
1997,724,2,579,"H1","080711",8,5108667,5108667,1570752,0
1997,724,2,616,"H1","080711",8,6436351,6436351,1839005,0
1997,724,2,620,"H1","080711",8,9128054,9128054,2917134,0
1997,724,2,643,"H1","080711",8,243230,243230,56119,0
1997,724,2,703,"H1","080711",8,589687,589687,181629,0
1997,724,2,705,"H1","080711",8,186062,186062,66350,0
1997,724,2,752,"H1","080711",8,7837574,7837574,3108229,0
1997,724,2,757,"H1","080711",8,1925562,1925562,461817,0
1997,724,2,826,"H1","080711",8,12870593,12870593,4489823,0
1997,724,2,842,"H1","080711",8,6375,6375,2572,0
1997,724,1,858,"H1","080711",8,29660,29660,22750,0
1997,724,1,899,"H1","080711",8,11,11,40,0
1997,724,2,899,"H1","080711",8,1237,1237,427,0
1998,724,1,0,"H1","080711",8,1726461,1726461,906090,0
1998,724,2,0,"H1","080711",8,344588224,344588224,134449376,0
1998,724,2,20,"H1","080711",8,39476,39476,12799,0
1998,724,2,40,"H1","080711",8,4714777,4714777,1532774,0
1998,724,1,58,"H1","080711",8,116597,116597,55431,0
1998,724,2,58,"H1","080711",8,7377148,7377148,3494786,0
1998,724,2,70,"H1","080711",8,47226,47226,12761,0
1998,724,1,76,"H1","080711",8,8187,8187,5799,0
1998,724,2,76,"H1","080711",8,24039,24039,12724,0
1998,724,1,152,"H1","080711",8,2812,2812,6201,0
1998,724,1,188,"H1","080711",8,158000,158000,149330,0
1998,724,2,191,"H1","080711",8,247441,247441,63694,0
1998,724,2,203,"H1","080711",8,5511570,5511570,1864613,0
1998,724,2,208,"H1","080711",8,7946359,7946359,2097655,0
1998,724,2,233,"H1","080711",8,16800,16800,3677,0
1998,724,2,246,"H1","080711",8,6201125,6201125,3039088,0
1998,724,1,251,"H1","080711",8,357125,357125,147375,0
1998,724,2,251,"H1","080711",8,82359312,82359312,28867428,0
1998,724,1,276,"H1","080711",8,65058,65058,13542,0
1998,724,2,276,"H1","080711",8,130856248,130856248,54044572,0
1998,724,2,292,"H1","080711",8,36871,36871,10781,0
1998,724,2,300,"H1","080711",8,107046,107046,64397,0
1998,724,1,320,"H1","080711",8,4750,4750,2319,0
1998,724,1,340,"H1","080711",8,272000,272000,171546,0
1998,724,2,348,"H1","080711",8,1142625,1142625,269601,0
1998,724,1,372,"H1","080711",8,7875,7875,6056,0
1998,724,2,372,"H1","080711",8,292125,292125,132946,0
1998,724,1,376,"H1","080711",8,8937,8937,6542,0
1998,724,2,381,"H1","080711",8,14825347,14825347,7382655,0
1998,724,2,428,"H1","080711",8,19566,19566,4831,0
1998,724,2,440,"H1","080711",8,121296,121296,34870,0
1998,724,1,504,"H1","080711",8,408312,408312,120741,0
1998,724,1,528,"H1","080711",8,245488,245488,182556,0
1998,724,2,528,"H1","080711",8,26520508,26520508,10704779,0
1998,724,2,579,"H1","080711",8,5265003,5265003,1846032,0
1998,724,1,604,"H1","080711",8,59320,59320,31208,0
1998,724,2,616,"H1","080711",8,6043710,6043710,2281047,0
1998,724,2,620,"H1","080711",8,11990285,11990285,3533465,0
1998,724,2,643,"H1","080711",8,213398,213398,131946,0
1998,724,2,703,"H1","080711",8,515125,515125,172834,0
1998,724,2,705,"H1","080711",8,313250,313250,134841,0
1998,724,2,752,"H1","080711",8,6572843,6572843,2994595,0
1998,724,2,757,"H1","080711",8,2028500,2028500,516049,0
1998,724,2,792,"H1","080711",8,8812,8812,3485,0
1998,724,1,826,"H1","080711",8,12000,12000,7444,0
1998,724,2,826,"H1","080711",8,23222144,23222144,9179882,0
1998,724,2,837,"H1","080711",8,2562,2562,2344,0
1998,724,2,891,"H1","080711",8,5687,5687,1421,0
1999,724,1,0,"H1","080711",8,1717983,1717983,934638,0
1999,724,2,0,"H1","080711",8,323365986,323365986,87830495,0
1999,724,2,20,"H1","080711",8,14250,14250,4362,0
1999,724,2,40,"H1","080711",8,6473957,6473957,1786254,0
1999,724,1,56,"H1","080711",8,70875,70875,45418,0
1999,724,2,56,"H1","080711",8,7224054,7224054,2391812,0
1999,724,2,70,"H1","080711",8,104828,104828,26680,0
1999,724,1,76,"H1","080711",8,85648,85648,56230,0
1999,724,1,188,"H1","080711",8,353375,353375,267093,0
1999,724,2,191,"H1","080711",8,208164,208164,52063,0
1999,724,2,203,"H1","080711",8,8441382,8441382,2671821,0
1999,724,2,208,"H1","080711",8,6356589,6356589,1628829,0
1999,724,2,233,"H1","080711",8,254730,254730,46926,0
1999,724,2,246,"H1","080711",8,6762308,6762308,2051295,0
1999,724,1,251,"H1","080711",8,217828,217828,60903,0
1999,724,2,251,"H1","080711",8,72203437,72203437,19785305,0
1999,724,1,276,"H1","080711",8,46593,46593,8555,0
1999,724,2,276,"H1","080711",8,132850125,132850125,33167757,0
1999,724,2,292,"H1","080711",8,55230,55230,13673,0
1999,724,2,300,"H1","080711",8,33449,33449,28479,0
1999,724,1,320,"H1","080711",8,10687,10687,7254,0
1999,724,1,340,"H1","080711",8,299062,299062,186097,0
1999,724,2,348,"H1","080711",8,1054000,1054000,345570,0
1999,724,1,372,"H1","080711",8,47023,47023,27321,0
1999,724,2,372,"H1","080711",8,46027,46027,13935,0
1999,724,1,376,"H1","080711",8,29648,29648,31669,0
1999,724,1,381,"H1","080711",8,13625,13625,3695,0
1999,724,2,381,"H1","080711",8,11330070,11330070,3837807,0
1999,724,2,428,"H1","080711",8,113449,113449,23937,0
1999,724,2,440,"H1","080711",8,205281,205281,74099,0
1999,724,2,442,"H1","080711",8,89910,89910,30151,0
1999,724,1,504,"H1","080711",8,157718,157718,21218,0
1999,724,1,528,"H1","080711",8,309625,309625,179160,0
1999,724,2,528,"H1","080711",8,21966929,21966929,6290288,0
1999,724,2,579,"H1","080711",8,5472781,5472781,1819194,0
1999,724,2,616,"H1","080711",8,6597289,6597289,2351993,0
1999,724,2,620,"H1","080711",8,7466625,7466625,1647003,0
1999,724,2,643,"H1","080711",8,32480,32480,9420,0
1999,724,2,703,"H1","080711",8,491062,491062,132374,0
1999,724,2,705,"H1","080711",8,265937,265937,100082,0
1999,724,2,752,"H1","080711",8,8385339,8385339,2515548,0
1999,724,2,757,"H1","080711",8,2866125,2866125,675700,0
1999,724,1,826,"H1","080711",8,21804,21804,6177,0
1999,724,2,826,"H1","080711",8,15998367,15998367,4307883,0
1999,724,1,858,"H1","080711",8,54472,54472,33848,0
1999,724,2,899,"H1","080711",8,1812,1812,255,0
2000,724,1,0,"H1","080711",8,3689917,3689917,1333599,0
2000,724,2,0,"H1","080711",8,293907023,293907023,91515626,0
2000,724,2,20,"H1","080711",8,25305,25305,8713,0
2000,724,2,40,"H1","080711",8,8736743,8736743,3021530,0
2000,724,1,56,"H1","080711",8,9351,9351,3895,0
2000,724,2,56,"H1","080711",8,6914056,6914056,2380179,0
2000,724,2,70,"H1","080711",8,48992,48992,11276,0
2000,724,1,76,"H1","080711",8,106630,106630,47353,0
2000,724,2,112,"H1","080711",8,5095,5095,788,0
2000,724,1,188,"H1","080711",8,796446,796446,420759,0
2000,724,2,191,"H1","080711",8,65144,65144,14535,0
2000,724,2,203,"H1","080711",8,7631667,7631667,2749712,0
2000,724,2,208,"H1","080711",8,5276762,5276762,1662347,0
2000,724,2,233,"H1","080711",8,12380,12380,3297,0
2000,724,2,246,"H1","080711",8,6278721,6278721,1911443,0
2000,724,1,251,"H1","080711",8,1247050,1247050,234436,0
2000,724,2,251,"H1","080711",8,57100982,57100982,18468568,0
2000,724,1,276,"H1","080711",8,279050,279050,73122,0
2000,724,2,276,"H1","080711",8,118517881,118517881,35950150,0
2000,724,2,292,"H1","080711",8,57166,57166,20485,0
2000,724,2,300,"H1","080711",8,4684,4684,2776,0
2000,724,1,320,"H1","080711",8,39368,39368,18645,0
2000,724,1,340,"H1","080711",8,276615,276615,134759,0
2000,724,2,348,"H1","080711",8,1449710,1449710,517389,0
2000,724,2,372,"H1","080711",8,46726,46726,16827,0
2000,724,1,381,"H1","080711",8,62620,62620,11353,0
2000,724,2,381,"H1","080711",8,11213759,11213759,3310959,0
2000,724,2,428,"H1","080711",8,42230,42230,11959,0
2000,724,2,440,"H1","080711",8,138553,138553,45218,0
2000,724,2,442,"H1","080711",8,11732,11732,8127,0
2000,724,2,478,"H1","080711",8,1966,1966,979,0
2000,724,1,484,"H1","080711",8,129951,129951,73550,0
2000,724,1,504,"H1","080711",8,171473,171473,21071,0
2000,724,1,528,"H1","080711",8,452580,452580,222608,0
2000,724,2,528,"H1","080711",8,20115674,20115674,6283999,0
2000,724,2,579,"H1","080711",8,5823472,5823472,1817778,0
2000,724,1,591,"H1","080711",8,87266,87266,58756,0
